Label,GIF,LabelFull,Supra/Infra,CSF/Corte,LR,LobesNoLR,LobesLR,SubLobes
,0 1 2 3 4,0,Background,Background,,Background,,Background
Left White matter,67 89 90 91 92 93 94 96,2,Supra Tentorial,WM,WM Left,WM,,WM
Left Lateral Ventr,53,4,Supra Tentorial,CSF,CSF Left,CSF,,CSF Medial
Inferior Left Lateral ventricle,51,5,Supra Tentorial,CSF,CSF Left,CSF,,CSF Medial
Left cerebellar white matter,42,7,Infra Tentorial,Cerebellum,Cerebellum Left,Cerebellum,,Cerebellum
Left cerebellum Cortex,40,8,Infra Tentorial,Cerebellum,Cerebellum Left,Cerebellum,,Cerebellum
Left Thalamus Proper,61,10,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Diencephalon
Left Caudate,38,11,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Telencephalon
Left Putamen,59,12,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Telencephalon
Left Pallidum,57,13,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Diencephalon
3rd ventricle,5,14,Supra Tentorial,CSF,CSF Left,CSF,,CSF Medial
4th Ventricle,12,15,Supra Tentorial,CSF,CSF Left,CSF,,CSF Medial
Pons Brainstem,35 36,16,Infra Tentorial,Pons+Brainstem,Pons+Brainstem,Pons+Brainstem,,Brainstem+Pons
Left Hippocampus,49,17,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe,,Medial Temporal
Left Amygdala,33,18,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Medial Temporal
,47,24,,,,,,
Left Accumbens,31,26,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Telencephalon
Left Ventral DC,63,28,Supra Tentorial,Basal Ganglia,Basal Ganglia Left,Basal Ganglia,,Diencephalon
,,30,,,,,,
,,31,,,,,,
Right White matter,66 81 82 83 84 85 86 97,41,Supra Tentorial,WM,WM Right,WM,,WM
,,42,,,,,,
Right Lateral Ventricle,52,43,Supra Tentorial,CSF,CSF Right,CSF,,CSF Medial
Right Inferior Lateral Ventricle,50,44,Supra Tentorial,CSF,CSF Right,CSF,,CSF Medial
Right cerebellar white matter,41,46,Infra Tentorial,Cerebellum,Cerebellum Right,Cerebellum,,Cerebellum
Right Cerebellum Cortex,39,47,Infra Tentorial,Cerebellum,Cerebellum Right,Cerebellum,,Cerebellum
Right Thalamus proper,60,49,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Diencephalon
Right Caudate,37,50,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Telencephalon
Right Putamen,58,51,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Telencephalon
Right Pallidum,56,52,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Diencephalon
Right Hippocampus,48,53,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Medial Temporal
Right Amygdala,32,54,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Medial Temporal
Right Accumbens,24,58,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Telencephalon
Right Ventral DC,62,60,Supra Tentorial,Basal Ganglia,Basal Ganglia Right,Basal Ganglia,,Diencephalon
,,62,,,,,,
ChoroidPlexus,,63,Supra Tentorial,CSF,CSF,CSF,,CSF Medial
,,77,Supra Tentorial,,,,,
Ventral DC,62 63,85,Supra Tentorial,Basal Ganglia,Basal Ganglia Medial,Basal Ganglia,,Diencephalon
,87,251,Supra Tentorial,WM,WM Medial,WM,,WM
,87,252,Supra Tentorial,WM,WM Medial,WM,,WM
,87,253,Supra Tentorial,WM,WM Medial,WM,,WM
,87,254,Supra Tentorial,WM,WM Medial,WM,,WM
,87,255,Supra Tentorial,WM,WM Medial,WM,,WM
LH Unknown,,1000,Supra Tentorial,Cortex,Cortex Left,,,
LH Bankssts,,1001,Supra Tentorial,Cortex,Cortex Left,,,
LH Caudal Anterior Cingulate,140,1002,Supra Tentorial,Cortex,Cortex Left,Cingulate,,Middle
LH Caudal Middle Frontal,144,1003,Supra Tentorial,Cortex,Cortex Left,Frontal Lobe,,Dlpfc
LH Cuneus,116,1005,Supra Tentorial,Cortex,Cortex Left,Occipital Lobe,,Medial Occipital
LH Entorhinal,118,1006,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe,,Medial Temporal
LH Fusiform,124,1007,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe ,,Medial Temporal
LH Inferior Parietal,108 146,1008,Supra Tentorial,Cortex,Cortex Left,Parietal Lobe,,Lateral Parietal
LH Inferior Temporal,134,1009,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe,,Lateral Temporal
LH Isthmus Cingulate,168,1010,Supra Tentorial,Cortex,Cortex Left,Cingulate,,Posterior
