Name,Label_Full,1 - Supra/Infra Tentorial,Label_1,2 - CSF/Cortex/BasalGanglia/WM,Label_2,3- L/R,Label_3,34-Lobes,Label_34,4- Lobes,Label_4,5- Sub-Lobes,Label_5,6 - All
Background,0,0,Background,0,Background,0,Background,0,Background,0,Background,0,Background,1
Skull 1,1,0,Background,0,Background,0,Background,0,Background,0,Background,0,Background,2
Skull 2,2,0,Background,0,Background,0,Background,0,Background,0,Background,0,Background,3
Skull 3,3,0,Background,0,Background,0,Background,0,Background,0,Background,0,Background,4
External CSF,4,1,Supra Tentorial,1,CSF,1,CSF Medial,1,CSF Medial,1,CSF Medial,1,CSF Medial,5
3rd Ventricle,5,1,Supra Tentorial,1,CSF,1,CSF Medial,2,CSF Medial,1,CSF Medial,1,CSF Medial,6
4th Ventricle,12,2,Infra Tentorial,2,CSF-Infra,2,CSF-Infra,2,CSF-Infra,2,CSF-Infra,2,CSF-Infra,8
5th Ventricle,16,1,Supra Tentorial,1,CSF,1,CSF Medial,2,CSF Medial,1,CSF Medial,1,CSF Medial,7
Right Accumbens Area,24,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Striatum,3,Striatum Right,3,Telencephalon,9
Left Accumbens Area,31,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Striatum,4,Striatum Left,4,Telencephalon,10
Right Amygdala,32,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,20,Medial Temp,11
Left Amygdala,33,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,39,Medial Temp,12
Pons,35,2,Infra Tentorial,5,BrainStem+Pons,7,BrainStem+Pons,4,BrainStem+Pons,6,BrainStem+Pons,7,BrainStem+Pons,13
Brain Stem,36,2,Infra Tentorial,5,BrainStem+Pons,7,BrainStem+Pons,4,BrainStem+Pons,6,BrainStem+Pons,7,BrainStem+Pons,14
Right Caudate,37,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Striatum,3,Striatum Right,3,Telencephalon,15
Left Caudate,38,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Striatum,4,Striatum Left,4,Telencephalon,16
Right Cerebellum Exterior,39,2,Infra Tentorial,6,Cerebellum,8,Cerebellum Right,5,Cerebellum,7,Cerebellum Right,8,Cerebellum Right,17
Left Cerebellum Exterior,40,2,Infra Tentorial,6,Cerebellum,9,Cerebellum Left,5,Cerebellum,8,Cerebellum Left,9,Cerebellum Left,18
Right Cerebellum White Matter,41,2,Infra Tentorial,6,Cerebellum,8,Cerebellum Right,5,Cerebellum,7,Cerebellum Right,8,Cerebellum Right,19
Left Cerebellum White Matter,42,2,Infra Tentorial,6,Cerebellum,9,Cerebellum Left,5,Cerebellum,8,Cerebellum Left,9,Cerebellum Left,20
Right Hippocampus,48,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,20,Medial Temp,36
Left Hippocampus,49,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,39,Medial Temp,37
Right Id Lat Vent,50,1,Supra Tentorial,1,CSF,13,CSF Right,2,CSF,13,CSF Right,5,Right Ventricle,38
Left Inf Lat Vent,51,1,Supra Tentorial,1,CSF,14,CSF Left,2,CSF ,14,CSF Left,6,Left Ventricle,39
Right Lateral Ventricle,52,1,Supra Tentorial,1,CSF,13,CSF Right,2,CSF,13,CSF Right,5,Right Ventricle,40
Left Lateral Ventricle,53,1,Supra Tentorial,1,CSF,14,CSF Left,2,CSF ,14,CSF Left,6,Left Ventricle,41
Right Pallidum,56,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Basal Ganglia ,3,Striatum Right,22,Diencephalon,42
Left Pallidum,57,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Basal Ganglia,4,Striatum Left,41,Diencephalon,43
Right Putamen,58,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Basal Ganglia ,3,Striatum Right,3,Telencephalon,44
Left Putamen,59,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Basal Ganglia,4,Striatum Left,4,Telencephalon,45
Right Thalamus Proper,60,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Basal Ganglia ,3,Striatum Right,22,Diencephalon,46
Left Thalamus Proper,61,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Basal Ganglia,4,Striatum Left,41,Diencephalon,47
Right Ventral DC,62,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Basal Ganglia ,3,Striatum Right,22,Diencephalon,48
Left Ventral DC,63,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Basal Ganglia,4,Striatum Left,41,Diencephalon,49
Cerebellar Vermal Lobules I-V,72,2,Infra Tentorial,6,Cerebellum,15,Cerebellar Vermis,7,Cerebellar Vermis,9,Cerebellar Vermis,53,Cerebellar Vermis,50
Cerebellar Vermal Lobules VI-VI!,73,2,Infra Tentorial,6,Cerebellum,15,Cerebellar Vermis,7,Cerebellar Vermis,9,Cerebellar Vermis,53,Cerebellar Vermis,51
Cerebellar Vermal Lobules VIII-X,74,2,Infra Tentorial,6,Cerebellum,15,Cerebellar Vermis,7,Cerebellar Vermis,9,Cerebellar Vermis,53,Cerebellar Vermis,52
Left Basal Forebrain,76,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Basal Ganglia ,4,Basal Ganglia Left,10,Right Basal Forebrain,53
Right Basal Forebrain,77,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Basal Ganglia,3,Basal Ganglia Right,11,Left Basal Forebrain,54
Right Temporal White Matter,81,1,Supra Tentorial,7,WM,10,WM Right,8,WM Temporal,10,WM Right,12,WM Right,21
Right Insula White Matter,82,1,Supra Tentorial,7,WM,10,WM Right,9,WM Insula,10,WM Right,12,WM Right,22
Right Cingulate White Matter,83,1,Supra Tentorial,7,WM,10,WM Right,10,WM Cingulate,10,WM Right,12,WM Right,23
Right Frontal White Matter,84,1,Supra Tentorial,7,WM,10,WM Right,11,WM Frontal,10,WM Right,12,WM Right,24
Right Occipital White Matter,85,1,Supra Tentorial,7,WM,10,WM Right,12,WM Occipital,10,WM Right,12,WM Right,25
Right Parietal White Matter,86,1,Supra Tentorial,7,WM,10,WM Right,13,WM Parietal,10,WM Right,12,WM Right,26
Corpus Callosum,87,1,Supra Tentorial,7,WM,12,WM Mid,14,WM Mid,11,WM Mid,13,WM Mid,27
Left Temporal White Matter,89,1,Supra Tentorial,7,WM,11,WM Left,8,WM Temporal,12,WM Left,14,WM Left,28
Left Insula White Matter,90,1,Supra Tentorial,7,WM,11,WM Left,9,WM Insula,12,WM Left,14,WM Left,29
